,Country,emissions_mt,emissions_kg,emissions_per_capita
41,China,9838.754,0.4765807733402958,6.98022885062695
209,United States of America,5269.5295,0.3059126599706339,16.24094871907003
91,India,2466.7654,0.2942708559913755,1.841996718937273
163,Russian Federation,1692.7948,0.5377134449550383,11.75635594182625
99,Japan,1205.0612,0.2618709985509635,9.452613240281462
75,Germany,799.3732,0.2185583487044587,9.734893189759669
93,Iran,672.3123,0.4532421258752692,8.283504258133668
172,Saudi Arabia,635.0111,0.4101741977520139,19.27885705274904
183,South Korea,616.0967,0.3336584246895414,12.08454234979055
35,Canada,572.7826,0.3581543215542756,15.639457398099
127,Mexico,490.2946,0.2338286576781371,3.795928805645964
92,Indonesia,486.8438,0.1683308965099322,1.844165524814354
27,Brazil,476.0668,0.1636740675117759,2.274694046648901
182,South Africa,456.3252,0.666518664460047,8.045629086197481
201,Turkey,447.8972,0.2279063708019953,5.54705664819948
10,Australia,413.0927,0.3651922788153551,16.89501930037515
208,United Kingdom,384.7068,0.1502293453823039,5.812897953411058
69,France,356.3007,0.1395405591813226,5.483274522008063
97,Italy,355.4542,0.171256689006685,5.988119926078043
195,Thailand,330.8396,0.3016983823103407,4.79217146770626
157,Poland,326.6045,0.3259221502336684,8.556416238712025
101,Kazakhstan,292.5885,0.6605685863808275,16.07231816706409
184,Spain,281.422,0.1787184892895249,6.071106078762323
192,Taiwan,271.525,0.2641066083849986,11.49241341993907
119,Malaysia,254.5759,0.3066379063831488,8.050018175917074
207,United Arab Emirates,231.7735,0.3795005016079422,24.65637498144975
59,Egypt,218.6644,0.2188786012311865,2.241489872531129
206,Ukraine,212.1163,0.6435632282791354,4.796521136413636
7,Argentina,204.3234,0.2863398260411079,4.615283385814216
214,Vietnam,198.8265,0.3441458989307985,2.081063796828161
150,Pakistan,198.81,0.2074342804025605,1.009106089910332
94,Iraq,194.4546,0.3422523171128832,5.080510535728926
139,Netherlands,164.0459,0.2024095357829659,9.629402267136683
213,Venezuela,159.5676,0.4670114245809681,4.990063972412728
2,Algeria,150.5514,0.2665629163985436,3.64371176225688
159,Qatar,129.8033,0.4218778355318005,49.1826155619994
156,Philippines,127.608,0.1634442783799559,1.216263086756536
52,Czech Republic,107.8958,0.3219237869865964,10.1613035529312
144,Nigeria,107.3009,0.1075051246579279,0.5621194072947431
104,Kuwait,104.3935,0.3920065103027516,25.23698618744996
18,Belgium,100.116,0.2111030994719804,8.759563985169391
211,Uzbekistan,98.9989,0.5039926255794179,3.102378921188077
15,Bangladesh,88.0575,0.1549641209678492,0.5347521294302559
40,Chile,84.6032,0.2192094968997985,4.685930985604545
42,Colombia,81.2268,0.1274445197452494,1.655472982454209
162,Romania,79.9955,0.1888520654228343,4.064955339380362
78,Greece,76.0004,0.2936609313671018,6.810210207680748
202,Turkmenistan,72.7025,0.7865296982503492,12.62618149294686
11,Austria,69.9418,0.1814024911676294,8.00665975765653
96,Israel,66.5534,0.2372254633860292,7.997697549861384
149,Oman,65.1864,0.3888777473182077,14.06011998459104
155,Peru,64.7815,0.1692170516022307,2.01400662853366
177,Singapore,64.7651,0.1403598768067696,11.34469605405227
133,Morocco,62.7253,0.2357705873780424,1.755065392486425
17,Belarus,61.3718,0.3970046230896549,6.481792263858767
146,North Korea,58.0196,0.0,2.276084879485731
158,Portugal,54.8636,0.1903637924988291,5.311347899889888
111,Libya,53.3874,0.4118808500667306,8.37499858815025
89,Hungary,50.3447,0.2011094264724684,5.178665273748789
30,Bulgaria,49.0712,0.3785055203433315,6.926488562257333
68,Finland,45.956,0.2099294459958037,8.320492117747747
174,Serbia,45.0928,0.4911837881237956,5.129676401108733
147,Norway,44.7899,0.141431226243371,8.44234996794765
88,Hong Kong,43.0326,0.1060429364756175,5.842944144530199
189,Sweden,41.5015,0.09076485807763135,4.187544352311709
199,Trinidad and Tobago,40.6972,1.113397176436229,29.72497032776408
190,Switzerland,40.074,0.0876685598811109,4.727934917452266
95,Ireland,39.7384,0.1299547548032609,8.345498216272192
58,Ecuador,38.7973,0.2250978758429582,2.333692113340156
12,Azerbaijan,38.2097,0.2495996766343845,3.888003456392
49,Cuba,36.5042,0.0,3.178524769962235
141,New Zealand,36.0139,0.2160331933673817,7.653058405573696
4,Angola,35.3899,0.2082772744254845,1.188210806987451
178,Slovakia,35.3862,0.2174158355438411,6.495667315630082
54,Denmark,34.5501,0.131097116881999,6.025951456610397
14,Bahrain,34.4557,0.5436927673604769,23.08459691380854
130,Mongolia,30.3907,0.8578960041711021,9.881075429007295
200,Tunisia,28.1341,0.2291072242591489,2.439628006177871
191,Syria,27.9145,0.0,1.527898285855158
25,Bosnia and Herzegovina,26.6469,0.6876051543810708,7.598166761096397
135,Myanmar,25.3332,0.07272879189705739,0.4746657472092927
185,Sri Lanka,23.1384,0.09465109135501427,1.108324567272074
100,Jordan,21.3567,0.2685888131568971,2.201187691274477
57,Dominican Republic,21.2688,0.1372290947251583,1.975369550546958
23,Bolivia,20.8852,0.2801264903111345,1.889789713706613
82,Guatemala,20.878,0.1697509097119799,1.234398338416353
63,Estonia,19.8093,0.5415247707499894,15.12585214777892
108,Lebanon,19.5468,0.2549327726909515,3.213688377712785
217,Yemen,18.9658,0.4930694876799053,0.6713457711425176
186,Sudan,18.2059,0.1048912527827777,0.4491587540426606
48,Croatia,17.1816,0.197715536082018,4.101253821294123
76,Ghana,16.7648,0.1403516341216408,0.5814321880884298
102,Kenya,15.8182,0.1089365319781846,0.318274525591238
179,Slovenia,14.6096,0.2318118971867841,7.023927199159991
194,Tanzania,14.2305,0.09832403199943857,0.2483073683852731
64,Ethiopia,13.3962,0.07510142724919243,0.1276345941294794
113,Lithuania,13.3939,0.1687605455260013,4.634091236990524
0,Afghanistan,13.0147,0.0,0.3663008817795828
47,Côte d'Ivoire,11.7244,0.136808770867197,0.482589859949166
74,Georgia,10.9517,0.3094595453790987,2.79947066265071
87,Honduras,10.6691,0.2592030518396435,1.151540512335205
105,Kyrgyzstan,10.4331,0.510936289832882,1.725872303215968
219,Zimbabwe,10.3977,0.3909236651284203,0.6290236168340724
134,Mozambique,10.2744,0.3133633922952371,0.3463027903287335
29,Brunei Darussalam,10.2269,0.3780843054690498,23.85577692402793
152,Panama,10.059,0.1131061351203199,2.45426045610353
173,Senegal,9.3185,0.2402243865140027,0.5878969503109889
114,Luxembourg,9.2947,0.1715610013365209,15.93044879210908
138,Nepal,9.0282,0.1294695277429398,0.3080771409709702
46,Costa Rica,8.695,0.119998134625892,1.772403062598341
33,Cambodia,7.9383,0.1385896449563153,0.4959771946583189
26,Botswana,7.875,0.2240713165821089,3.43637213357473
98,Jamaica,7.7726,0.3328323833276712,2.689202743383989
34,Cameroon,7.6872,0.1065874322014387,0.3195845699920016
51,Cyprus,7.5147,0.2725513155548986,6.370813979217516
20,Benin,7.5021,0.3318719351496732,0.6712872903082869
153,Papua New Guinea,7.3875,0.0,0.8953284398003578
116,Macedonia (Republic of),7.2515,0.2598878315302676,3.481009620000384
107,Latvia,7.1668,0.152595029348716,3.675904127365144
60,El Salvador,6.992,0.137261866636335,1.096293690055258
210,Uruguay,6.8403,0.09748674905345658,1.978824039921892
61,Equatorial Guinea,6.7149,0.0,5.296961636489707
1,Albania,6.3792,0.1990770939215658,2.177062419565714
50,Curaçao,6.2533,0.0,38.95190576744591
154,Paraguay,5.8503,0.0959431301118287,0.858911305732227
205,Uganda,5.7828,0.0,0.134913694010572
193,Tajikistan,5.7114,0.225469090111856,0.6401950917031214
8,Armenia,5.6564,0.2245335029081821,1.930215495913597
140,New Caledonia,5.5645,0.0,20.14262185299814
72,Gabon,5.5264,0.1683896727159746,2.728901797754917
142,Nicaragua,5.4229,0.1696420559189442,0.8721880744295893
129,Moldova,5.0936,0.2834203260203997,1.257302752855195
53,Democratic Republic of the Congo,4.8137,0.08150463092154205,0.05917999397786978
218,Zambia,4.7461,0.07723896911290748,0.2776450161546683
126,Mauritius,4.2792,0.1735695034845441,3.38239780956702
136,Namibia,4.0653,0.1727223269722235,1.604431930930454
90,Iceland,3.48,0.2234624674558702,10.38728453100515
44,Congo,3.4097,0.1355869053787791,0.6481395238321532
31,Burkina Faso,3.335,0.0,0.1737578088113913
117,Madagascar,3.1821,0.0,0.1244422614069629
86,Haiti,2.9979,0.1686124297715366,0.2730022295318675
197,Togo,2.9911,0.2777110551793603,0.3835877632541107
83,Guinea,2.9047,0.0,0.228407627605374
125,Mauritania,2.8387,0.0,0.6422130843421902
109,Lesotho,2.8238,0.0,1.264384851560824
131,Montenegro,2.6278,0.2695467750176729,4.178008140422285
13,Bahamas,2.5644,0.0,6.486223982638651
143,Niger,2.4851,0.1285792660105038,0.1157079542595296
148,Occupied Palestinian Territory,2.318,0.0,0.4710688914883257
85,Guyana,2.0766,0.0,2.669635499492839
187,Suriname,2.0537,0.259429059510856,3.645176978427482
106,Laos,1.958,0.0,0.2854993176012225
160,Republic of South Sudan,1.8407,0.1141494121854097,0.1463694228415182
121,Mali,1.7238,0.0,0.09296741771914326
120,Maldives,1.5718,0.0,3.602319345449545
115,Macao,1.5122,0.0,2.42897551588825
122,Malta,1.4445,0.09665217281076623,3.352791671985794
176,Sierra Leone,1.3925,0.0,0.1842610740574699
118,Malawi,1.3675,0.0,0.07343423707654087
67,Fiji,1.3444,0.0,1.48470130380717
188,Swaziland,1.3438,0.0,0.9828459086607171
16,Barbados,1.3227,0.0,4.629373615335347
22,Bhutan,1.1664,0.0,1.444261462834784
110,Liberia,1.0778,0.0,0.2277729101127537
164,Rwanda,1.0247,0.0,0.08393396452133353
71,French Polynesia,0.94568,0.0,3.341542788694273
9,Aruba,0.92787,0.0,8.81469448244414
55,Djibouti,0.81701,0.0,0.8537333396030241
62,Eritrea,0.79305,0.09229300298819619,0.1564561927592378
181,Somalia,0.7489,0.0,0.05079863195736578
39,Chad,0.72871,0.0,0.04890673110338165
65,Faeroe Islands,0.67294,0.0,13.65266788395212
73,Gambia,0.62219,0.0,0.2962008371069159
21,Bermuda,0.61208,0.0,9.977016740289164
175,Seychelles,0.60905,0.0,6.42885039636045
36,Cape Verde,0.59998,0.0,1.098084145332621
79,Greenland,0.56973,0.0,10.08728753541076
6,Antigua and Barbuda,0.5653,0.0,5.541504920989688
19,Belize,0.56083,0.0,1.496819961513928
196,Timor-Leste,0.55273,0.0,0.4263868778402714
32,Burundi,0.52914,0.0,0.0487047190117675
3,Andorra,0.52018,0.0,6.758656532189956
167,Saint Lucia,0.43274,0.0,2.419650645255083
24,"Bonaire, Saint Eustatius and Saba",0.34308,0.0,13.50815024805103
84,Guinea-Bissau,0.33133,0.0,0.1780116188672008
38,Central African Republic,0.31073,0.0,0.06669342445289628
151,Palau,0.30659,0.0,14.1097151272493
80,Grenada,0.27623,0.0,2.561836308833758
166,Saint Kitts and Nevis,0.24561,0.0,4.43779925919234
180,Solomon Islands,0.2375,0.0,0.3884889497385265
170,Samoa,0.23318,0.0,1.187029118305844
169,Saint Vincent and the Grenadines,0.22222,0.0,2.022075215883964
203,Turks and Caicos Islands,0.21832,0.0,6.159228121649833
28,British Virgin Islands,0.19103,0.0,6.123541479676882
43,Comoros,0.18948,0.0,0.2328015805148468
212,Vanuatu,0.18136,0.0,0.6565210466109671
128,Micronesia (Federated States of),0.17705,0.0,1.677499431516714
112,Liechtenstein,0.16125,0.0,4.252149148251675
5,Anguilla,0.15205,0.0,10.19853779596217
56,Dominica,0.14425,0.0,1.951301995265472
198,Tonga,0.1425,0.0,1.319200148120718
123,Marshall Islands,0.12091,0.0,2.275867261467804
171,Sao Tome and Principe,0.11747,0.0,0.5749117835626226
45,Cook Islands,0.082045,0.0,4.720655926352129
168,Saint Pierre and Miquelon,0.081871,0.0,12.95427215189873
103,Kiribati,0.073409,0.0,0.6306723483221361
137,Nauru,0.056136,0.0,4.94198432960648
132,Montserrat,0.050682,0.0,9.789839675487734
215,Wallis and Futuna Islands,0.025909,0.0,2.200713496984626
204,Tuvalu,0.012955,0.0,1.157523230879199
145,Niue,0.012955,0.0,8.006798516687267
165,Saint Helena,0.011696,0.0,2.888614472709311
37,Cayman Islands,,,
66,Falkland Islands (Malvinas),,,
70,French Guiana,,,
77,Gibraltar,,,
81,Guadeloupe,,,
124,Martinique,,,
161,Réunion,,,
216,Western Sahara,,,
